relative_path,workspace_path,file_name,extension,size_bytes,sha256,manifest_match,vendor_id,vendor,parser_family,processing_role,importance,authoritative,include_in_ingestion,status,automation_state,parser_strategy,expected_action,report_group_count,workbook_sheets,workbook_header_hints,notes
Sample Reports/Dusk T.V.-2GrapesMedia B.V. - Licensing - Emailed/April 2026/Playlist NAT & INT April 2026 NMG.xlsx,Accounting Project/Sample Reports/Dusk T.V.-2GrapesMedia B.V. - Licensing - Emailed/April 2026/Playlist NAT & INT April 2026 NMG.xlsx,Playlist NAT & INT April 2026 NMG.xlsx,xlsx,13921,097931700a390447de47aaabf8ea366a507954f7368b804a37e1e4c0d878555a,yes,dusk,Dusk TV / 2GrapesMedia B.V.,xlsx_dusk_playlist,primary_source,important,yes,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,1,inspect_failed: XLSX.readFile is not a function,,
Sample Reports/Erigo-Load - DVD - Emailed/April 2026/Erigo.pdf,Accounting Project/Sample Reports/Erigo-Load - DVD - Emailed/April 2026/Erigo.pdf,Erigo.pdf,pdf,156645,0d45120a2d94fa9a5e12a7ee4aba98364b39ecd8473a5b9f391f1f17c38a0f49,yes,erigo,Erigo / Load,pdf_payment_narrative,primary_source,important,yes,yes,review_required,review_gate,document_or_image_review_gate,extract_candidates_then_human_review,1,,,"Text can be extracted, but the source contains a malformed currency line. Currency checks are mandatory."
Sample Reports/Erika Lust - Licensing For this customer for SARJ make sure to use SARJ MetArt - Emailed/March 2026/nmg q1 2026.xlsx,Accounting Project/Sample Reports/Erika Lust - Licensing For this customer for SARJ make sure to use SARJ MetArt - Emailed/March 2026/nmg q1 2026.xlsx,nmg q1 2026.xlsx,xlsx,30830,e0400189d34caadc32707646f925faff45dc449b78312182af47ea025fc596e1,yes,erika_lust,Erika Lust / Lust Productions,xlsx_erika_summary,primary_source,important,yes,yes,reviewed,ready_with_warning,config_parser,parse_validate_store_and_export_if_reconciled,1,inspect_failed: XLSX.readFile is not a function,,Producer summary is authoritative because the detail table omits Viv Thomas lines.
Sample Reports/Gamma Broadcast Group Inc. - Licensing - Emailed/January 2026 - Process with April 2026/EENT Inc (EENINC) Jan 2026 USD 1 861.99.xlsx,Accounting Project/Sample Reports/Gamma Broadcast Group Inc. - Licensing - Emailed/January 2026 - Process with April 2026/EENT Inc (EENINC) Jan 2026 USD 1 861.99.xlsx,EENT Inc (EENINC) Jan 2026 USD 1 861.99.xlsx,xlsx,205632,3c36bbb24d7a4bf15f651078517e1b026ac4c0d78326a3e934a32cfb87a09ce3,yes,gamma_licensing,Gamma Broadcast Group Inc. Licensing,xlsx_gamma_running_balance,primary_source,important,yes,yes,reviewed,ready_with_review,custom_parser,parse_validate_store_and_export_if_reconciled,1,inspect_failed: XLSX.readFile is not a function,,"Highlighted amount is a running balance after fees, not current period earned revenue."
Sample Reports/Gamma Broadcast Group Inc._Adult Time - VOD - Emailed/April 2026/AdultTimeContentRoyalties_exxxtrasmall-channel_20260401.pdf,Accounting Project/Sample Reports/Gamma Broadcast Group Inc._Adult Time - VOD - Emailed/April 2026/AdultTimeContentRoyalties_exxxtrasmall-channel_20260401.pdf,AdultTimeContentRoyalties_exxxtrasmall-channel_20260401.pdf,pdf,71213,a0a2141109c4b35919bf676480c66dcf60e2534f5ef0a789c8b9bbae9873627f,yes,gamma_adult_time,Gamma Broadcast Group Inc. Adult Time,pdf_adulttime_scene,primary_source,important,yes,yes,reviewed,ready_with_review,document_or_image_review_gate,extract_candidates_then_human_review,1,,,
Sample Reports/Gamma Broadcast Group Inc._Adult Time - VOD - Emailed/April 2026/AdultTimeContentRoyalties_exxxtrasmall_20260401.pdf,Accounting Project/Sample Reports/Gamma Broadcast Group Inc._Adult Time - VOD - Emailed/April 2026/AdultTimeContentRoyalties_exxxtrasmall_20260401.pdf,AdultTimeContentRoyalties_exxxtrasmall_20260401.pdf,pdf,65098,7bdada5d22a69963e250c7d5608cdfa892267044c017be0fe587ca8266ef255c,yes,gamma_adult_time,Gamma Broadcast Group Inc. Adult Time,pdf_adulttime_scene,primary_source,important,yes,yes,reviewed,ready_with_review,document_or_image_review_gate,extract_candidates_then_human_review,1,,,
Sample Reports/Girlfriends Films - DVD - Emailed/April and May 2026/2022 VIV THOMAS REPORTS.xlsx,Accounting Project/Sample Reports/Girlfriends Films - DVD - Emailed/April and May 2026/2022 VIV THOMAS REPORTS.xlsx,2022 VIV THOMAS REPORTS.xlsx,xlsx,1037703,bc175f70e6df2eda0203bda85765956ba2d789c9dd4d45c969222f9a12f692bb,yes,girlfriends_films,Girlfriends Films,xlsx_girlfriends_quickbooks,primary_source,important,yes,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,2,inspect_failed: XLSX.readFile is not a function,,"Book the 65 percent profit share, not the raw QuickBooks sales total."
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_FILTHY KINGS NMG_CanalPlay_2026_01.pdf,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_FILTHY KINGS NMG_CanalPlay_2026_01.pdf,report_FILTHY KINGS NMG_CanalPlay_2026_01.pdf,pdf,48851,bdc8952b20706340d5f54279e2a161181af82a05ef800a439aef4af7a431445c,yes,hpg,HPG Production,pdf_hpg_verification,verification_copy,supporting,no,yes,reviewed,ready,verification_only,link_to_primary_report_as_verification,0,,,Paired PDF used only to verify the spreadsheet total.
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_FILTHY KINGS NMG_CanalPlay_2026_01.xlsx,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_FILTHY KINGS NMG_CanalPlay_2026_01.xlsx,report_FILTHY KINGS NMG_CanalPlay_2026_01.xlsx,xlsx,9615,eab4a146d0ed0c45542a7fdb78cda987b64526fdccefa077d8e895880a205e96,yes,hpg,HPG Production,xlsx_hpg_canal,primary_source,important,yes,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,0,inspect_failed: XLSX.readFile is not a function,,
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_GROOBY NMG_CanalPlay_2026_01.pdf,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_GROOBY NMG_CanalPlay_2026_01.pdf,report_GROOBY NMG_CanalPlay_2026_01.pdf,pdf,51373,8750fbe4d7941f2cdd55e9e65b8beb2e7ee6cb8e731b78e6e174e55d648fe177,yes,hpg,HPG Production,pdf_hpg_verification,verification_copy,supporting,no,yes,reviewed,ready,verification_only,link_to_primary_report_as_verification,0,,,Paired PDF used only to verify the spreadsheet total.
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_GROOBY NMG_CanalPlay_2026_01.xlsx,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_GROOBY NMG_CanalPlay_2026_01.xlsx,report_GROOBY NMG_CanalPlay_2026_01.xlsx,xlsx,10177,56a97277d6b85799f78871c39717b13d2c300c32f6357222b373c5095a76c521,yes,hpg,HPG Production,xlsx_hpg_canal,primary_source,important,yes,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,0,inspect_failed: XLSX.readFile is not a function,,
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_MATURE XXX NMG_CanalPlay_2026_01.pdf,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_MATURE XXX NMG_CanalPlay_2026_01.pdf,report_MATURE XXX NMG_CanalPlay_2026_01.pdf,pdf,51537,c3316c0687948842847473db0c4cd4527000ffdfc7e60f900d3b5483e5e2c59d,yes,hpg,HPG Production,pdf_hpg_verification,verification_copy,supporting,no,yes,reviewed,ready,verification_only,link_to_primary_report_as_verification,0,,,Paired PDF used only to verify the spreadsheet total.
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_MATURE XXX NMG_CanalPlay_2026_01.xlsx,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_MATURE XXX NMG_CanalPlay_2026_01.xlsx,report_MATURE XXX NMG_CanalPlay_2026_01.xlsx,xlsx,10177,936b77850271fe2bfc67636f801c2d9bb838d1248f8d2806f53a5ad52441bc76,yes,hpg,HPG Production,xlsx_hpg_canal,primary_source,important,yes,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,0,inspect_failed: XLSX.readFile is not a function,,
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_NUBILE FILMS NMG_CanalPlay_2026_01.pdf,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_NUBILE FILMS NMG_CanalPlay_2026_01.pdf,report_NUBILE FILMS NMG_CanalPlay_2026_01.pdf,pdf,51578,770897e085397fc9b471c9fc4ce2ec74e45f8d0765a48dcff4a65ae3b532f733,yes,hpg,HPG Production,pdf_hpg_verification,verification_copy,supporting,no,yes,reviewed,ready,verification_only,link_to_primary_report_as_verification,0,,,Paired PDF used only to verify the spreadsheet total.
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_NUBILE FILMS NMG_CanalPlay_2026_01.xlsx,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_NUBILE FILMS NMG_CanalPlay_2026_01.xlsx,report_NUBILE FILMS NMG_CanalPlay_2026_01.xlsx,xlsx,10204,7fa674296cdf1fe15cef7c49f2eccf342830669fd0fb3af99991e5157e5d9d5f,yes,hpg,HPG Production,xlsx_hpg_canal,primary_source,important,yes,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,0,inspect_failed: XLSX.readFile is not a function,,
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_PORNSTAR PLATINIUM NMG_CanalPlay_2026_01.pdf,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_PORNSTAR PLATINIUM NMG_CanalPlay_2026_01.pdf,report_PORNSTAR PLATINIUM NMG_CanalPlay_2026_01.pdf,pdf,47900,2ece74692a259ac4f346a2f2a17569e91cb480512174adf3a80421dca9eb0f13,yes,hpg,HPG Production,pdf_hpg_verification,verification_copy,supporting,no,yes,reviewed,ready,verification_only,link_to_primary_report_as_verification,0,,,Paired PDF used only to verify the spreadsheet total.
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_PORNSTAR PLATINIUM NMG_CanalPlay_2026_01.xlsx,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_PORNSTAR PLATINIUM NMG_CanalPlay_2026_01.xlsx,report_PORNSTAR PLATINIUM NMG_CanalPlay_2026_01.xlsx,xlsx,9410,cef3b325ddac51fe6aff72a87e3855cf8e6b12f8cb6425b1f2bc81410220c959,yes,hpg,HPG Production,xlsx_hpg_canal,primary_source,important,yes,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,0,inspect_failed: XLSX.readFile is not a function,,
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_PURE PASSION NMG_CanalPlay_2026_01.pdf,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_PURE PASSION NMG_CanalPlay_2026_01.pdf,report_PURE PASSION NMG_CanalPlay_2026_01.pdf,pdf,48213,51da35c0bfaa7bac7b123dffce93be84ec9b23fc3134fa873fa0581f73373ea9,yes,hpg,HPG Production,pdf_hpg_verification,verification_copy,supporting,no,yes,reviewed,ready,verification_only,link_to_primary_report_as_verification,0,,,Paired PDF used only to verify the spreadsheet total.
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_PURE PASSION NMG_CanalPlay_2026_01.xlsx,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_PURE PASSION NMG_CanalPlay_2026_01.xlsx,report_PURE PASSION NMG_CanalPlay_2026_01.xlsx,xlsx,9488,6e234e8f11a2e73efa6318a868fe2f536eb57a7dc0e1057b6c7e1f627a6dccee,yes,hpg,HPG Production,xlsx_hpg_canal,primary_source,important,yes,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,0,inspect_failed: XLSX.readFile is not a function,,
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_RAW ATTACK NMG_CanalPlay_2026_01.pdf,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_RAW ATTACK NMG_CanalPlay_2026_01.pdf,report_RAW ATTACK NMG_CanalPlay_2026_01.pdf,pdf,47544,9a52273e41b7e6fd248d84017e4779678ac6eaa6e714475c853ef4a03b05fe00,yes,hpg,HPG Production,pdf_hpg_verification,verification_copy,supporting,no,yes,reviewed,ready,verification_only,link_to_primary_report_as_verification,0,,,Paired PDF used only to verify the spreadsheet total.
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_RAW ATTACK NMG_CanalPlay_2026_01.xlsx,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_RAW ATTACK NMG_CanalPlay_2026_01.xlsx,report_RAW ATTACK NMG_CanalPlay_2026_01.xlsx,xlsx,9335,f8826ddf8665ef19479aa423adfcdc9abc200e5e52ef238bca9e5715b0130490,yes,hpg,HPG Production,xlsx_hpg_canal,primary_source,important,yes,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,0,inspect_failed: XLSX.readFile is not a function,,
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_TEAM SKEET NMG_CanalPlay_2026_01.pdf,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_TEAM SKEET NMG_CanalPlay_2026_01.pdf,report_TEAM SKEET NMG_CanalPlay_2026_01.pdf,pdf,48529,b99dbd551499e8693122f7e85d2081e40f38ec2a443ec57a1a3c3244be4ade69,yes,hpg,HPG Production,pdf_hpg_verification,verification_copy,supporting,no,yes,reviewed,ready,verification_only,link_to_primary_report_as_verification,0,,,Paired PDF used only to verify the spreadsheet total.
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_TEAM SKEET NMG_CanalPlay_2026_01.xlsx,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_TEAM SKEET NMG_CanalPlay_2026_01.xlsx,report_TEAM SKEET NMG_CanalPlay_2026_01.xlsx,xlsx,9570,c3a27120c08f08ecc94567f9af381a097fbc3a420278b164da9099740f440cf8,yes,hpg,HPG Production,xlsx_hpg_canal,primary_source,important,yes,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,0,inspect_failed: XLSX.readFile is not a function,,
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_TRUEX NMG_CanalPlay_2026_01.pdf,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_TRUEX NMG_CanalPlay_2026_01.pdf,report_TRUEX NMG_CanalPlay_2026_01.pdf,pdf,47224,00c2eab18eda1c6782b77599c0c644683b99175dbc78b7d9b3dd8d2e90fa4205,yes,hpg,HPG Production,pdf_hpg_verification,verification_copy,supporting,no,yes,reviewed,ready,verification_only,link_to_primary_report_as_verification,0,,,Paired PDF used only to verify the spreadsheet total.
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_TRUEX NMG_CanalPlay_2026_01.xlsx,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/canal-orange/report_TRUEX NMG_CanalPlay_2026_01.xlsx,report_TRUEX NMG_CanalPlay_2026_01.xlsx,xlsx,9258,a47c0fbdb1ca546b517369d6fecf840c0df0ebd994e331a9999458d9de524932,yes,hpg,HPG Production,xlsx_hpg_canal,primary_source,important,yes,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,0,inspect_failed: XLSX.readFile is not a function,,
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/netgem/report_CRAVE NMG_Netgem_2026_01.pdf,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/netgem/report_CRAVE NMG_Netgem_2026_01.pdf,report_CRAVE NMG_Netgem_2026_01.pdf,pdf,36008,9f7729361851b089e0f9f87f7ba48cbdccd1907953d505c17aa0f6e16762bad2,yes,hpg,HPG Production,pdf_hpg_verification,verification_copy,supporting,no,yes,reviewed,ready,verification_only,link_to_primary_report_as_verification,0,,,Paired PDF used only to verify the spreadsheet total.
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/netgem/report_CRAVE NMG_Netgem_2026_01.xlsx,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/netgem/report_CRAVE NMG_Netgem_2026_01.xlsx,report_CRAVE NMG_Netgem_2026_01.xlsx,xlsx,9177,2a2c3f1419fe505bd4ab583b80976172420a2a724913197cf9bdf171cc265781,yes,hpg,HPG Production,xlsx_hpg_netgem,primary_source,important,yes,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,0,inspect_failed: XLSX.readFile is not a function,,
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/netgem/report_GROOBY NMG_Netgem_2026_01.pdf,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/netgem/report_GROOBY NMG_Netgem_2026_01.pdf,report_GROOBY NMG_Netgem_2026_01.pdf,pdf,36025,00b6d69c231ec595c1e6323bad431b8d62ac4ad444ba4a86b3e15db3aae79204,yes,hpg,HPG Production,pdf_hpg_verification,verification_copy,supporting,no,yes,reviewed,ready,verification_only,link_to_primary_report_as_verification,0,,,Paired PDF used only to verify the spreadsheet total.
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/netgem/report_GROOBY NMG_Netgem_2026_01.xlsx,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/netgem/report_GROOBY NMG_Netgem_2026_01.xlsx,report_GROOBY NMG_Netgem_2026_01.xlsx,xlsx,9183,d041070a781121fcec7f2f75335c13fe48b1b34c1cd66d46a4286319cbdea74a,yes,hpg,HPG Production,xlsx_hpg_netgem,primary_source,important,yes,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,0,inspect_failed: XLSX.readFile is not a function,,
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/netgem/report_NUBILE FILMS NMG_Netgem_2026_01.pdf,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/netgem/report_NUBILE FILMS NMG_Netgem_2026_01.pdf,report_NUBILE FILMS NMG_Netgem_2026_01.pdf,pdf,34988,bfec91a20552fea551ad241e15fe430db01b67218e90fbd0404d9db682418167,yes,hpg,HPG Production,pdf_hpg_verification,verification_copy,supporting,no,yes,reviewed,ready,verification_only,link_to_primary_report_as_verification,0,,,Paired PDF used only to verify the spreadsheet total.
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/netgem/report_NUBILE FILMS NMG_Netgem_2026_01.xlsx,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/netgem/report_NUBILE FILMS NMG_Netgem_2026_01.xlsx,report_NUBILE FILMS NMG_Netgem_2026_01.xlsx,xlsx,8944,792c4ec74a2e6a7408c6287e5fd6b7a60417cb90be43ea64e86b8a0e0d924d00,yes,hpg,HPG Production,xlsx_hpg_netgem,primary_source,important,yes,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,0,inspect_failed: XLSX.readFile is not a function,,
Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/netgem/report_RAW ATTACK NMG_Netgem_2026_01.pdf,Accounting Project/Sample Reports/HPG - Licensing - Google Drive/March 2026 last quarter reports/01-2026/netgem/report_RAW ATTACK NMG_Netgem_2026_01.pdf,report_RAW ATTACK NMG_Netgem_2026_01.pdf,pdf,37031,dc0ed8f2c04c41f214f644c3259df120739f1e773e08d3ccbc30e46dd8aab61f,yes,hpg,HPG Production,pdf_hpg_verification,verification_copy,supporting,no,yes,reviewed,ready,verification_only,link_to_primary_report_as_verification,0,,,Paired PDF used only to verify the spreadsheet total.
