parser_family,vendor_id,vendor,sample_file_count,extensions,roles,automation_state,parser_strategy,implementation_status,authoritative_amount_rule,validations,posting_policy,report_groups,material_issues,next_parser_work
xlsx_aerona_rollup,aerona,AERONA LLC,1,xlsx,primary_source,ready,config_parser,implemented_deterministic,Total column in aecash_item_report.xlsx,component sum equals Total; raw file difference equals Unlimited where raw files are present,aggregate rollup lines by canonical studio,aerona_apr_2026,Raw files omit 570.6537 USD of Unlimited revenue in the four sampled platforms. | A004: Raw files omit Unlimited revenue.,"Keep covered by npm run test:parsers; review-gated outputs usually indicate lookup/policy gaps, not parse errors."
xlsx_amg_mixed,amg,All Media Group (AMG),1,xlsx,primary_source,review_gate,custom_parser,implemented_deterministic,Payout on nonhighlighted revenue share rows only,nonmanual rows reconcile; manual highlighted rows routed to review,do not automatically post highlighted flat fee rows,amg_apr_2026,The workbook total includes yellow flat fee rows marked for manual handling. | A006: Yellow flat fee rows are marked for manual handling.,"Keep covered by npm run test:parsers; review-gated outputs usually indicate lookup/policy gaps, not parse errors."
xlsx_av_royalty_header,av_entertainment,AV Entertainment/Optical Xtreme,1,xlsx,primary_source,ready,config_parser,implemented_deterministic,highlighted header royalty amount,gross line total times rate reconciles to header within rounding,aggregate net allocation by studio,av_apr_2026,"Line Total is gross, not payable.","Keep covered by npm run test:parsers; review-gated outputs usually indicate lookup/policy gaps, not parse errors."
xlsx_dusk_playlist,dusk,Dusk TV / 2GrapesMedia B.V.,1,xlsx,primary_source,ready,config_parser,implemented_deterministic,footer total from Payout NL plus Payout INT plus optional VOD total,title rows reconcile to footer; PDF total matches xlsx,aggregate preassigned titles by canonical studio,dusk_apr_2026,Top and bottom summary rows duplicate the same values.,"Keep covered by npm run test:parsers; review-gated outputs usually indicate lookup/policy gaps, not parse errors."
xlsx_embedded_image_omnet,omnet,OMNet AG,4,xlsx,primary_source,document_extraction_review,document_or_image_review_gate,not_implemented_review_gate,YOUR SHARE total,label shares sum to report share; title detail reconciles where visible,map label codes through an approved code alias table,"omnet_2026_01, omnet_2026_02, omnet_2026_03, omnet_2026_04",No usable worksheet cells. | No usable worksheet cells. | No usable worksheet cells. | No usable worksheet cells. | A010: The workbooks have embedded report images and no useful cell data.,"Extract embedded images, OCR/document extraction, then review gate."
xlsx_erika_summary,erika_lust,Erika Lust / Lust Productions,1,xlsx,primary_source,ready_with_warning,config_parser,implemented_deterministic,producer summary Total Royalties,producer summary total reconciles; detail completeness warning when producer summary exceeds detail,post producer summary by canonical studio,erika_q1_2026,"Detail omits Viv Thomas by 143.516114333329 EUR. | A005: The detailed table omits Viv Thomas, while the producer summary includes 143.516114333329 EUR for Viv Thomas.","Keep covered by npm run test:parsers; review-gated outputs usually indicate lookup/policy gaps, not parse errors."
xlsx_gamma_running_balance,gamma_licensing,Gamma Broadcast Group Inc. Licensing,1,xlsx,primary_source,ready_with_review,custom_parser,implemented_deterministic,highlighted amount after wire fee,VOD plus Linear plus SVOD equals current period royalties; net due minus wire fee equals highlighted payable,post highlighted payable under approved legacy policy,gamma_licensing_jan_2026,"Current period earned is 1507.082659 USD, which is not the payable. | A012: The payable is a running balance after payments and a wire fee, not current month royalties.","Keep covered by npm run test:parsers; review-gated outputs usually indicate lookup/policy gaps, not parse errors."
xlsx_girlfriends_quickbooks,girlfriends_films,Girlfriends Films,1,xlsx,primary_source,ready,config_parser,implemented_deterministic,highlighted bottom total after 65 percent profit share,raw line total times 65 percent equals payable,aggregate monthly payable by canonical studio,"girlfriends_apr_2026, girlfriends_may_2026",A014: Raw QuickBooks sales require a 65 percent profit share calculation.,"Keep covered by npm run test:parsers; review-gated outputs usually indicate lookup/policy gaps, not parse errors."
xlsx_hpg_canal,hpg,HPG Production,32,xlsx,primary_source,ready,config_parser,implemented_deterministic,"Canal O, Netgem T, Proximus dynamic final Revenue column",line sums equal xlsx total; paired PDF total matches when present,one posting per studio report or approved aggregate,,A011: The spreadsheet exists but its paired PDF is missing.,"Keep covered by npm run test:parsers; review-gated outputs usually indicate lookup/policy gaps, not parse errors."
xlsx_hpg_netgem,hpg,HPG Production,17,xlsx,primary_source,ready,config_parser,implemented_deterministic,"Canal O, Netgem T, Proximus dynamic final Revenue column",line sums equal xlsx total; paired PDF total matches when present,one posting per studio report or approved aggregate,,A011: The spreadsheet exists but its paired PDF is missing.,"Keep covered by npm run test:parsers; review-gated outputs usually indicate lookup/policy gaps, not parse errors."
xlsx_hpg_proximus,hpg,HPG Production,35,xlsx,primary_source,ready,config_parser,implemented_deterministic,"Canal O, Netgem T, Proximus dynamic final Revenue column",line sums equal xlsx total; paired PDF total matches when present,one posting per studio report or approved aggregate,,A011: The spreadsheet exists but its paired PDF is missing.,"Keep covered by npm run test:parsers; review-gated outputs usually indicate lookup/policy gaps, not parse errors."
xlsx_knpb_credit_note,knpb,KNPB Media BV,1,xlsx,primary_source,ready,config_parser,implemented_deterministic,Total Income summary and T Revenue title detail,title sum equals studio summary; studio summary equals Total Income; PDF matches xlsx,aggregate title lines by canonical studio,knpb_apr_2026,,"Keep covered by npm run test:parsers; review-gated outputs usually indicate lookup/policy gaps, not parse errors."
xlsx_new_sensations_paid,new_sensations,New Sensations Inc.,5,xlsx,primary_source,ready,config_parser,implemented_deterministic,Paid amount minus 30 percent fee minus expenses,detail quantity equals summary; detail amount equals paid amount; final due reconciles,one posting per workbook mapped to canonical studio,"new_sensations_lhfs_4_26_xlsx, new_sensations_lwi_deep_4_26_xlsx, new_sensations_mylf_4_26_xlsx, new_sensations_pure_4_26_xlsx, new_sensations_visn_4_26_xlsx",Expense deduction applies. | Expense deduction applies. | A015: Expense worksheets reduce the payable after the 30 percent distribution fee.,"Keep covered by npm run test:parsers; review-gated outputs usually indicate lookup/policy gaps, not parse errors."
xlsx_pulse_cumulative_balance,pulse,Pulse Distribution,20,xlsx,primary_source,ready_with_policy,custom_parser,implemented_deterministic,final Net Royalty Due or Balance Due on Summary,final formula captured; positive amount matches historical posting after configured rounding,"post positive balances only, carry negative balances forward","pulse_bm_apr2026, pulse_carnal_media_2_apr2026, pulse_carnal_media_apr2026, pulse_dw_apr2026, pulse_fking_apr2026, pulse_jrcp_apr2026, pulse_jrock_apr2026, pulse_karups_apr2026, pulse_lustery_apr2026, pulse_max_apr2026, pulse_mormonb_g_bn_apr2026, pulse_nsfw_apr2026, pulse_nvg_apr2026, pulse_nubilefilms_apr2026, pulse_nubiles_net_apr2026, pulse_psp_apr2026, pulse_paper_street_apr2026, pulse_pornpros_new_apr2026, pulse_pros_apr2026, pulse_truex2_apr2026","Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales.","Keep covered by npm run test:parsers; review-gated outputs usually indicate lookup/policy gaps, not parse errors."
xlsx_sonifi_allocation_model,sonifi,Sonifi Solutions,1,xlsx,allocation_model,source_ready_allocation_blocked,blocked,not_implemented_review_gate,Royalty vendor amount on DOCX statement,title sales and royalties sum to grand totals,do not create studio postings until allocation policy and workbook formulas are approved,sonifi_allocation_model,P24 refers to O11 instead of O24. | A002: Cell P24 uses O11 instead of O24.,Do not build parser until missing source or accounting policy is resolved.
